sample,species,cell_line,assay,include,rep,total_reads,tss,perc_mito,est_lib_size,perc_dup,perc_read_in_peak
BL135,Human,HEK293T,omniATAC,1,1,6810049,10.74618294,14.8053,4.74E+07,0.026269,42.4
BL136,Human,HEK293T,omniATAC,1,2,8903450,11.46370728,14.701,5.16E+07,0.031586,48.9
BL137,Human,HEK293T,roboATAC,1,1,15507790,9.852501574,8.68624,8.05E+07,0.037688,38.3
BL138,Human,HEK293T,roboATAC,1,2,11070768,9.524424203,9.51695,5.43E+07,0.03914,50
BL139,Human,HEK293T,roboATAC,1,1,9234353,8.465898979,8.87901,4.21E+07,0.042725,40.6
BL140,Human,HEK293T,roboATAC,1,2,7491643,9.066136517,9.02666,2.98E+07,0.048858,39
BL141,Human,HEK293T,omniATAC,1,1,14055792,10.63316554,34.6454,5.09E+07,0.037104,49.2
BL142,Human,HEK293T,omniATAC,1,2,30213536,11.72280069,30.5753,1.13E+08,0.038474,40.8
BL145,Human,HEK293T,roboATAC,1,1,9307966,9.191987933,28.26,2.97E+07,0.046706,38.2
BL146,Human,HEK293T,roboATAC,1,2,9874884,8.00184233,22.4489,4.75E+07,0.034076,38.6
BL218,Human,Jurkat,omniATAC,1,2,1740351,13.97754166,20,15471148,0.01954,47
BL220,Human,Jurkat,roboATAC,1,2,1911797,12.13547378,9.08,22930543,0.021001,46.7
BL019,Human,K562,omniATAC,1,1,20312843,14.49852997,72.1,26128535,0.065819,55.4
BL020,Human,K562,omniATAC,1,2,17305414,13.01900812,74.6,18415478,0.069044,47.4
BL023,Human,K562,roboATAC,1,1,18728504,9.837628211,49.04,13356440,0.228606,33.4
BL024,Human,K562,roboATAC,1,2,17599440,9.623063214,53.81,15811248,0.170191,30.4
BL041,Human,K562,omniATAC,1,1,15748714,13.16671587,61.1,48525555,0.043991,61.9
BL042,Human,K562,omniATAC,1,2,19876148,13.0311888,62,54285540,0.047689,51.6
BL143,Human,MCF7,omniATAC,1,1,28577320,12.41144025,10.5914,6.70E+07,0.080449,62.9
BL144,Human,MCF7,omniATAC,1,2,25258811,12.91240047,13.2302,5.87E+07,0.078566,60.7
BL147,Human,MCF7,roboATAC,1,1,16206172,10.10576972,11.2661,6.31E+07,0.048788,45.4
BL148,Human,MCF7,roboATAC,1,2,18270251,11.7759447,13.8402,4.14E+07,0.08008,57.5
BL157,Human,MCF7,omniATAC,1,1,10151410,13.78499939,15.1597,4.03E+07,0.045621,65.7
BL158,Human,MCF7,omniATAC,1,2,12676438,13.6705794,12.395,5.33E+07,0.044797,60.8
BL159,Human,MCF7,roboATAC,1,1,17398004,12.92938777,13.7784,3.01E+07,0.101961,48.6
BL160,Human,MCF7,roboATAC,1,2,17592773,11.86430145,11.1305,4.00E+07,0.080786,43.1
BL161,Human,MCF7,roboATAC,1,1,13473503,14.29547239,18.5659,2.01E+07,0.110282,62.8
BL162,Human,MCF7,roboATAC,1,2,22867075,10.63784017,10.092,4.39E+07,0.096257,44.1
BL214,Human,SUDHL5,omniATAC,1,1,2350674,8.897935183,27.36,9841719,0.017992,38.2
BL216,Human,SUDHL5,roboATAC,1,1,3194550,10.59993658,48.74,6805724,0.022825,42.1
BL238,Human,SUDHL5,omniATAC,1,1,18134552,16.25845455,19.76,30891618,0.102268,61.2
BL239,Human,SUDHL5,omniATAC,1,2,17371293,16.30647731,17.99,33158321,0.101333,62.3
BL244,Human,SUDHL5,roboATAC,1,1,13431957,12.25631583,33.78,6609347,0.13093,44.6
BL245,Human,SUDHL5,roboATAC,1,2,10174515,12.82795462,41.28,4557602,0.118925,53
