sampleID	Plasmid_Dose	Replicate	TF	Well	CellType	PlateNum	TF_Dose	sampleName	peakFilename	bamFilenameFull
1	1	1	SP4	A2	HEK293T	1	SP4_1	1_HEK293T_P1A2_SP4_d100	../../output/01-preprocessing/output/peaks/HEK293T_P1A2_SP4_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1A2_SP4_d100.noMT.filtered.deduped.bam
2	1	2	SP4	B2	HEK293T	1	SP4_1	2_HEK293T_P1B2_SP4_d100	../../output/01-preprocessing/output/peaks/HEK293T_P1B2_SP4_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1B2_SP4_d100.noMT.filtered.deduped.bam
3	1	1	ELF1	C2	HEK293T	1	ELF1_1	3_HEK293T_P1C2_ELF1_d100	../../output/01-preprocessing/output/peaks/HEK293T_P1C2_ELF1_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1C2_ELF1_d100.noMT.filtered.deduped.bam
4	1	2	ELF1	D2	HEK293T	1	ELF1_1	4_HEK293T_P1D2_ELF1_d100	../../output/01-preprocessing/output/peaks/HEK293T_P1D2_ELF1_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1D2_ELF1_d100.noMT.filtered.deduped.bam
5	1	1	FOXP1	E2	HEK293T	1	FOXP1_1	5_HEK293T_P1E2_FOXP1_d100	../../output/01-preprocessing/output/peaks/HEK293T_P1E2_FOXP1_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1E2_FOXP1_d100.noMT.filtered.deduped.bam
6	1	2	FOXP1	F2	HEK293T	1	FOXP1_1	6_HEK293T_P1F2_FOXP1_d100	../../output/01-preprocessing/output/peaks/HEK293T_P1F2_FOXP1_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1F2_FOXP1_d100.noMT.filtered.deduped.bam
7	1	1	GATA1	G2	HEK293T	1	GATA1_1	7_HEK293T_P1G2_GATA1_d100	../../output/01-preprocessing/output/peaks/HEK293T_P1G2_GATA1_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1G2_GATA1_d100.noMT.filtered.deduped.bam
8	1	2	GATA1	H2	HEK293T	1	GATA1_1	8_HEK293T_P1H2_GATA1_d100	../../output/01-preprocessing/output/peaks/HEK293T_P1H2_GATA1_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1H2_GATA1_d100.noMT.filtered.deduped.bam
9	0.75	1	SP4	A3	HEK293T	1	SP4_0.75	9_HEK293T_P1A3_SP4_d075	../../output/01-preprocessing/output/peaks/HEK293T_P1A3_SP4_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1A3_SP4_d075.noMT.filtered.deduped.bam
10	0.75	2	SP4	B3	HEK293T	1	SP4_0.75	10_HEK293T_P1B3_SP4_d075	../../output/01-preprocessing/output/peaks/HEK293T_P1B3_SP4_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1B3_SP4_d075.noMT.filtered.deduped.bam
11	0.75	1	ELF1	C3	HEK293T	1	ELF1_0.75	11_HEK293T_P1C3_ELF1_d075	../../output/01-preprocessing/output/peaks/HEK293T_P1C3_ELF1_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1C3_ELF1_d075.noMT.filtered.deduped.bam
12	0.75	2	ELF1	D3	HEK293T	1	ELF1_0.75	12_HEK293T_P1D3_ELF1_d075	../../output/01-preprocessing/output/peaks/HEK293T_P1D3_ELF1_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1D3_ELF1_d075.noMT.filtered.deduped.bam
13	0.75	1	FOXP1	E3	HEK293T	1	FOXP1_0.75	13_HEK293T_P1E3_FOXP1_d075	../../output/01-preprocessing/output/peaks/HEK293T_P1E3_FOXP1_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1E3_FOXP1_d075.noMT.filtered.deduped.bam
14	0.75	2	FOXP1	F3	HEK293T	1	FOXP1_0.75	14_HEK293T_P1F3_FOXP1_d075	../../output/01-preprocessing/output/peaks/HEK293T_P1F3_FOXP1_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1F3_FOXP1_d075.noMT.filtered.deduped.bam
15	0.75	1	GATA1	G3	HEK293T	1	GATA1_0.75	15_HEK293T_P1G3_GATA1_d075	../../output/01-preprocessing/output/peaks/HEK293T_P1G3_GATA1_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1G3_GATA1_d075.noMT.filtered.deduped.bam
16	0.75	2	GATA1	H3	HEK293T	1	GATA1_0.75	16_HEK293T_P1H3_GATA1_d075	../../output/01-preprocessing/output/peaks/HEK293T_P1H3_GATA1_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1H3_GATA1_d075.noMT.filtered.deduped.bam
17	0.5	1	SP4	A4	HEK293T	1	SP4_0.5	17_HEK293T_P1A4_SP4_d050	../../output/01-preprocessing/output/peaks/HEK293T_P1A4_SP4_d050_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1A4_SP4_d050.noMT.filtered.deduped.bam
18	0.5	2	SP4	B4	HEK293T	1	SP4_0.5	18_HEK293T_P1B4_SP4_d050	../../output/01-preprocessing/output/peaks/HEK293T_P1B4_SP4_d050_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1B4_SP4_d050.noMT.filtered.deduped.bam
19	0.5	1	ELF1	C4	HEK293T	1	ELF1_0.5	19_HEK293T_P1C4_ELF1_d050	../../output/01-preprocessing/output/peaks/HEK293T_P1C4_ELF1_d050_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1C4_ELF1_d050.noMT.filtered.deduped.bam
20	0.5	2	ELF1	D4	HEK293T	1	ELF1_0.5	20_HEK293T_P1D4_ELF1_d050	../../output/01-preprocessing/output/peaks/HEK293T_P1D4_ELF1_d050_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1D4_ELF1_d050.noMT.filtered.deduped.bam
21	0.5	1	FOXP1	E4	HEK293T	1	FOXP1_0.5	21_HEK293T_P1E4_FOXP1_d050	../../output/01-preprocessing/output/peaks/HEK293T_P1E4_FOXP1_d050_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1E4_FOXP1_d050.noMT.filtered.deduped.bam
22	0.5	2	FOXP1	F4	HEK293T	1	FOXP1_0.5	22_HEK293T_P1F4_FOXP1_d050	../../output/01-preprocessing/output/peaks/HEK293T_P1F4_FOXP1_d050_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1F4_FOXP1_d050.noMT.filtered.deduped.bam
23	0.5	1	GATA1	G4	HEK293T	1	GATA1_0.5	23_HEK293T_P1G4_GATA1_d050	../../output/01-preprocessing/output/peaks/HEK293T_P1G4_GATA1_d050_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1G4_GATA1_d050.noMT.filtered.deduped.bam
24	0.5	2	GATA1	H4	HEK293T	1	GATA1_0.5	24_HEK293T_P1H4_GATA1_d050	../../output/01-preprocessing/output/peaks/HEK293T_P1H4_GATA1_d050_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1H4_GATA1_d050.noMT.filtered.deduped.bam
