sampleID	Plasmid_Dose	Replicate	TF	Well	CellType	PlateNum	TF_Dose	sampleName	rnaPath
1	1	1	SP4	A2	HEK293T	1	SP4_1	1_HEK293T_P1A2_SP4_d100	../../output/03-rna/00/output/kallisto/1_HEK293T_P1A2_SP4_d100/abundance.h5
2	1	2	SP4	B2	HEK293T	1	SP4_1	2_HEK293T_P1B2_SP4_d100	../../output/03-rna/00/output/kallisto/2_HEK293T_P1B2_SP4_d100/abundance.h5
3	1	1	ELF1	C2	HEK293T	1	ELF1_1	3_HEK293T_P1C2_ELF1_d100	../../output/03-rna/00/output/kallisto/3_HEK293T_P1C2_ELF1_d100/abundance.h5
4	1	2	ELF1	D2	HEK293T	1	ELF1_1	4_HEK293T_P1D2_ELF1_d100	../../output/03-rna/00/output/kallisto/4_HEK293T_P1D2_ELF1_d100/abundance.h5
5	1	1	FOXP1	E2	HEK293T	1	FOXP1_1	5_HEK293T_P1E2_FOXP1_d100	../../output/03-rna/00/output/kallisto/5_HEK293T_P1E2_FOXP1_d100/abundance.h5
6	1	2	FOXP1	F2	HEK293T	1	FOXP1_1	6_HEK293T_P1F2_FOXP1_d100	../../output/03-rna/00/output/kallisto/6_HEK293T_P1F2_FOXP1_d100/abundance.h5
7	1	1	GATA1	G2	HEK293T	1	GATA1_1	7_HEK293T_P1G2_GATA1_d100	../../output/03-rna/00/output/kallisto/7_HEK293T_P1G2_GATA1_d100/abundance.h5
8	1	2	GATA1	H2	HEK293T	1	GATA1_1	8_HEK293T_P1H2_GATA1_d100	../../output/03-rna/00/output/kallisto/8_HEK293T_P1H2_GATA1_d100/abundance.h5
9	0.75	1	SP4	A3	HEK293T	1	SP4_0.75	9_HEK293T_P1A3_SP4_d075	../../output/03-rna/00/output/kallisto/9_HEK293T_P1A3_SP4_d075/abundance.h5
10	0.75	2	SP4	B3	HEK293T	1	SP4_0.75	10_HEK293T_P1B3_SP4_d075	../../output/03-rna/00/output/kallisto/10_HEK293T_P1B3_SP4_d075/abundance.h5
11	0.75	1	ELF1	C3	HEK293T	1	ELF1_0.75	11_HEK293T_P1C3_ELF1_d075	../../output/03-rna/00/output/kallisto/11_HEK293T_P1C3_ELF1_d075/abundance.h5
12	0.75	2	ELF1	D3	HEK293T	1	ELF1_0.75	12_HEK293T_P1D3_ELF1_d075	../../output/03-rna/00/output/kallisto/12_HEK293T_P1D3_ELF1_d075/abundance.h5
13	0.75	1	FOXP1	E3	HEK293T	1	FOXP1_0.75	13_HEK293T_P1E3_FOXP1_d075	../../output/03-rna/00/output/kallisto/13_HEK293T_P1E3_FOXP1_d075/abundance.h5
14	0.75	2	FOXP1	F3	HEK293T	1	FOXP1_0.75	14_HEK293T_P1F3_FOXP1_d075	../../output/03-rna/00/output/kallisto/14_HEK293T_P1F3_FOXP1_d075/abundance.h5
15	0.75	1	GATA1	G3	HEK293T	1	GATA1_0.75	15_HEK293T_P1G3_GATA1_d075	../../output/03-rna/00/output/kallisto/15_HEK293T_P1G3_GATA1_d075/abundance.h5
16	0.75	2	GATA1	H3	HEK293T	1	GATA1_0.75	16_HEK293T_P1H3_GATA1_d075	../../output/03-rna/00/output/kallisto/16_HEK293T_P1H3_GATA1_d075/abundance.h5
17	0.5	1	SP4	A4	HEK293T	1	SP4_0.5	17_HEK293T_P1A4_SP4_d050	../../output/03-rna/00/output/kallisto/17_HEK293T_P1A4_SP4_d050/abundance.h5
18	0.5	2	SP4	B4	HEK293T	1	SP4_0.5	18_HEK293T_P1B4_SP4_d050	../../output/03-rna/00/output/kallisto/18_HEK293T_P1B4_SP4_d050/abundance.h5
19	0.5	1	ELF1	C4	HEK293T	1	ELF1_0.5	19_HEK293T_P1C4_ELF1_d050	../../output/03-rna/00/output/kallisto/19_HEK293T_P1C4_ELF1_d050/abundance.h5
20	0.5	2	ELF1	D4	HEK293T	1	ELF1_0.5	20_HEK293T_P1D4_ELF1_d050	../../output/03-rna/00/output/kallisto/20_HEK293T_P1D4_ELF1_d050/abundance.h5
21	0.5	1	FOXP1	E4	HEK293T	1	FOXP1_0.5	21_HEK293T_P1E4_FOXP1_d050	../../output/03-rna/00/output/kallisto/21_HEK293T_P1E4_FOXP1_d050/abundance.h5
22	0.5	2	FOXP1	F4	HEK293T	1	FOXP1_0.5	22_HEK293T_P1F4_FOXP1_d050	../../output/03-rna/00/output/kallisto/22_HEK293T_P1F4_FOXP1_d050/abundance.h5
23	0.5	1	GATA1	G4	HEK293T	1	GATA1_0.5	23_HEK293T_P1G4_GATA1_d050	../../output/03-rna/00/output/kallisto/23_HEK293T_P1G4_GATA1_d050/abundance.h5
24	0.5	2	GATA1	H4	HEK293T	1	GATA1_0.5	24_HEK293T_P1H4_GATA1_d050	../../output/03-rna/00/output/kallisto/24_HEK293T_P1H4_GATA1_d050/abundance.h5
25	0.25	1	SP4	A5	HEK293T	1	SP4_0.25	25_HEK293T_P1A5_SP4_d025	../../output/03-rna/00/output/kallisto/25_HEK293T_P1A5_SP4_d025/abundance.h5
26	0.25	2	SP4	B5	HEK293T	1	SP4_0.25	26_HEK293T_P1B5_SP4_d025	../../output/03-rna/00/output/kallisto/26_HEK293T_P1B5_SP4_d025/abundance.h5
27	0.25	1	ELF1	C5	HEK293T	1	ELF1_0.25	27_HEK293T_P1C5_ELF1_d025	../../output/03-rna/00/output/kallisto/27_HEK293T_P1C5_ELF1_d025/abundance.h5
28	0.25	2	ELF1	D5	HEK293T	1	ELF1_0.25	28_HEK293T_P1D5_ELF1_d025	../../output/03-rna/00/output/kallisto/28_HEK293T_P1D5_ELF1_d025/abundance.h5
29	0.25	1	FOXP1	E5	HEK293T	1	FOXP1_0.25	29_HEK293T_P1E5_FOXP1_d025	../../output/03-rna/00/output/kallisto/29_HEK293T_P1E5_FOXP1_d025/abundance.h5
30	0.25	2	FOXP1	F5	HEK293T	1	FOXP1_0.25	30_HEK293T_P1F5_FOXP1_d025	../../output/03-rna/00/output/kallisto/30_HEK293T_P1F5_FOXP1_d025/abundance.h5
31	0.25	1	GATA1	G5	HEK293T	1	GATA1_0.25	31_HEK293T_P1G5_GATA1_d025	../../output/03-rna/00/output/kallisto/31_HEK293T_P1G5_GATA1_d025/abundance.h5
32	0.25	2	GATA1	H5	HEK293T	1	GATA1_0.25	32_HEK293T_P1H5_GATA1_d025	../../output/03-rna/00/output/kallisto/32_HEK293T_P1H5_GATA1_d025/abundance.h5
33	0.05	1	SP4	A6	HEK293T	1	SP4_0.05	33_HEK293T_P1A6_SP4_d005	../../output/03-rna/00/output/kallisto/33_HEK293T_P1A6_SP4_d005/abundance.h5
34	0.05	2	SP4	B6	HEK293T	1	SP4_0.05	34_HEK293T_P1B6_SP4_d005	../../output/03-rna/00/output/kallisto/34_HEK293T_P1B6_SP4_d005/abundance.h5
35	0.05	1	ELF1	C6	HEK293T	1	ELF1_0.05	35_HEK293T_P1C6_ELF1_d005	../../output/03-rna/00/output/kallisto/35_HEK293T_P1C6_ELF1_d005/abundance.h5
36	0.05	2	ELF1	D6	HEK293T	1	ELF1_0.05	36_HEK293T_P1D6_ELF1_d005	../../output/03-rna/00/output/kallisto/36_HEK293T_P1D6_ELF1_d005/abundance.h5
37	0.05	1	FOXP1	E6	HEK293T	1	FOXP1_0.05	37_HEK293T_P1E6_FOXP1_d005	../../output/03-rna/00/output/kallisto/37_HEK293T_P1E6_FOXP1_d005/abundance.h5
38	0.05	2	FOXP1	F6	HEK293T	1	FOXP1_0.05	38_HEK293T_P1F6_FOXP1_d005	../../output/03-rna/00/output/kallisto/38_HEK293T_P1F6_FOXP1_d005/abundance.h5
39	0.05	1	GATA1	G6	HEK293T	1	GATA1_0.05	39_HEK293T_P1G6_GATA1_d005	../../output/03-rna/00/output/kallisto/39_HEK293T_P1G6_GATA1_d005/abundance.h5
40	0.05	2	GATA1	H6	HEK293T	1	GATA1_0.05	40_HEK293T_P1H6_GATA1_d005	../../output/03-rna/00/output/kallisto/40_HEK293T_P1H6_GATA1_d005/abundance.h5
41	1	1	BACH2	A7	HEK293T	1	BACH2_1	41_HEK293T_P1A7_BACH2_d100	../../output/03-rna/00/output/kallisto/41_HEK293T_P1A7_BACH2_d100/abundance.h5
42	1	2	BACH2	B7	HEK293T	1	BACH2_1	42_HEK293T_P1B7_BACH2_d100	../../output/03-rna/00/output/kallisto/42_HEK293T_P1B7_BACH2_d100/abundance.h5
43	1	1	FOXO1	C7	HEK293T	1	FOXO1_1	43_HEK293T_P1C7_FOXO1_d100	../../output/03-rna/00/output/kallisto/43_HEK293T_P1C7_FOXO1_d100/abundance.h5
44	1	2	FOXO1	D7	HEK293T	1	FOXO1_1	44_HEK293T_P1D7_FOXO1_d100	../../output/03-rna/00/output/kallisto/44_HEK293T_P1D7_FOXO1_d100/abundance.h5
45	1	1	FOXP3	E7	HEK293T	1	FOXP3_1	45_HEK293T_P1E7_FOXP3_d100	../../output/03-rna/00/output/kallisto/45_HEK293T_P1E7_FOXP3_d100/abundance.h5
46	1	2	FOXP3	F7	HEK293T	1	FOXP3_1	46_HEK293T_P1F7_FOXP3_d100	../../output/03-rna/00/output/kallisto/46_HEK293T_P1F7_FOXP3_d100/abundance.h5
47	1	1	IRF4	G7	HEK293T	1	IRF4_1	47_HEK293T_P1G7_IRF4_d100	../../output/03-rna/00/output/kallisto/47_HEK293T_P1G7_IRF4_d100/abundance.h5
48	1	2	IRF4	H7	HEK293T	1	IRF4_1	48_HEK293T_P1H7_IRF4_d100	../../output/03-rna/00/output/kallisto/48_HEK293T_P1H7_IRF4_d100/abundance.h5
49	0.75	1	BACH2	A8	HEK293T	1	BACH2_0.75	49_HEK293T_P1A8_BACH2_d075	../../output/03-rna/00/output/kallisto/49_HEK293T_P1A8_BACH2_d075/abundance.h5
